,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.10416666666666666,0.3958333333333333,0.10416666666666666,0.08333333333333333,0.3333333333333333,0.7916666666666666,0.4375,0.3541666666666667,0.3541666666666667,0.75,0.375,0.39583333333333337
1,Czech,0.29166666666666663,0.625,0.18749999999999997,0.25,0.20833333333333331,0.5416666666666667,0.25,0.1875,0.2708333333333333,0.625,0.39583333333333337,0.2708333333333333
2,Slovak,0.18749999999999997,0.39583333333333337,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.5416666666666666,0.20833333333333331,0.2708333333333333,0.18749999999999997,0.39583333333333337,0.25,0.22916666666666663
3,Croatian,0.37499999999999994,0.6458333333333334,0.3541666666666667,0.4583333333333333,0.29166666666666663,0.7708333333333334,0.5,0.5,0.5208333333333333,0.8333333333333333,0.75,0.7083333333333334
4,Slovene,0.14583333333333334,0.33333333333333337,0.20833333333333334,0.16666666666666666,0.4375,0.6874999999999999,0.4583333333333333,0.3541666666666667,0.25,0.6041666666666666,0.35416666666666663,0.3125
