,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.0625,0.1875,0.0625,0.10416666666666666,0.0625,0.125,0.0,0.020833333333333332,0.0625,0.14583333333333331,0.10416666666666666,0.020833333333333332
1,Czech,0.125,0.25,0.14583333333333331,0.08333333333333333,0.020833333333333332,0.24999999999999997,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.29166666666666663,0.14583333333333331,0.14583333333333331
2,Slovak,0.08333333333333333,0.2708333333333333,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.20833333333333331,0.0,0.020833333333333332,0.10416666666666666,0.2708333333333333,0.0625,0.0625
3,Croatian,0.14583333333333334,0.3125,0.16666666666666666,0.14583333333333331,0.08333333333333333,0.3541666666666667,0.10416666666666666,0.16666666666666669,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.10416666666666666
4,Slovene,0.5,0.7708333333333334,0.7916666666666667,0.6666666666666667,0.3958333333333333,0.75,0.6458333333333334,0.49999999999999994,0.4375,0.7708333333333334,0.6458333333333334,0.5625
