,Language,Description,Token Count,Top 1 Score,Top 3 Score,COS,GAS
0,Croatian,1 Line Data,12689,0.041666666666666664,0.25,0.041666666666666664,0.0
1,Croatian,3 Line Data,12689,0.041666666666666664,0.1875,0.0,0.041666666666666664
2,Croatian,3 Line Data (unfilled),12689,0.0625,0.20833333333333331,0.0625,0.08333333333333333
