,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.14583333333333331,0.31249999999999994,0.12499999999999999,0.22916666666666666,0.0,0.20833333333333331,0.041666666666666664,0.041666666666666664,0.12499999999999999,0.35416666666666663,0.22916666666666666,0.20833333333333331
1,Czech,0.5,0.8125,0.875,0.8958333333333334,0.4375,0.7291666666666666,0.8333333333333334,0.6666666666666667,0.47916666666666663,0.8333333333333334,0.9583333333333334,0.8541666666666667
2,Slovak,0.6041666666666667,0.8958333333333333,0.9583333333333334,0.8541666666666667,0.4583333333333333,0.9375,0.8125,0.5833333333333334,0.625,0.8958333333333333,0.9583333333333334,0.8541666666666666
3,Croatian,0.125,0.375,0.12499999999999999,0.14583333333333331,0.0625,0.22916666666666663,0.041666666666666664,0.08333333333333333,0.1875,0.37499999999999994,0.08333333333333333,0.22916666666666663
4,Slovene,0.14583333333333331,0.3333333333333333,0.18749999999999997,0.18750000000000003,0.0625,0.29166666666666663,0.0,0.0,0.10416666666666666,0.4166666666666667,0.2708333333333333,0.27083333333333337
