,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.8541666666666666,1.0,1.0,0.8125,0.75,0.9791666666666666,1.0,0.7916666666666666,0.8125,1.0,1.0,0.8333333333333334
1,Czech,0.10416666666666666,0.25,0.14583333333333331,0.1875,0.041666666666666664,0.18749999999999997,0.0,0.020833333333333332,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.24999999999999997
2,Slovak,0.08333333333333333,0.25,0.16666666666666666,0.18749999999999997,0.020833333333333332,0.1875,0.020833333333333332,0.0,0.16666666666666666,0.25,0.0625,0.0625
3,Croatian,0.08333333333333333,0.25,0.125,0.0625,0.020833333333333332,0.22916666666666663,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.3125,0.125,0.08333333333333333
4,Slovene,0.0625,0.22916666666666666,0.125,0.10416666666666666,0.041666666666666664,0.16666666666666666,0.0,0.0,0.10416666666666666,0.24999999999999997,0.08333333333333333,0.12499999999999999
