,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.0625,0.25,0.125,0.0625,0.041666666666666664,0.27083333333333337,0.0625,0.0625,0.10416666666666666,0.18749999999999997,0.0625,0.08333333333333333
1,Czech,0.20833333333333331,0.3541666666666667,0.08333333333333333,0.041666666666666664,0.0,0.125,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.3541666666666667,0.08333333333333333,0.10416666666666666
2,Slovak,0.125,0.35416666666666663,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.22916666666666666,0.0625,0.10416666666666666,0.125,0.25,0.14583333333333331,0.16666666666666666
3,Croatian,0.625,0.9375,1.0,0.8125,0.5,0.8333333333333334,0.6458333333333334,0.5833333333333334,0.6041666666666666,0.9375,0.9166666666666666,0.7291666666666667
4,Slovene,0.14583333333333331,0.47916666666666663,0.375,0.33333333333333337,0.14583333333333331,0.375,0.10416666666666666,0.125,0.25,0.5,0.2708333333333333,0.3125
