,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.12499999999999999,0.3333333333333333,0.041666666666666664,0.10416666666666666,0.08333333333333333,0.29166666666666663,0.041666666666666664,0.08333333333333333,0.12499999999999999,0.375,0.1875,0.1875
1,Czech,0.4583333333333333,0.8333333333333334,0.7916666666666667,0.8125000000000001,0.3958333333333333,0.8124999999999999,0.7708333333333334,0.625,0.4791666666666667,0.8124999999999999,0.9583333333333334,0.8541666666666667
2,Slovak,0.8125,1.0,0.9583333333333334,1.0,0.6666666666666666,0.9583333333333334,0.9166666666666666,0.8333333333333334,0.7291666666666666,0.9791666666666666,1.0,0.9375
3,Croatian,0.0625,0.2708333333333333,0.10416666666666666,0.12499999999999999,0.041666666666666664,0.22916666666666666,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.2916666666666667,0.16666666666666666,0.14583333333333331
4,Slovene,0.14583333333333331,0.29166666666666663,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.25,0.10416666666666666,0.0625,0.10416666666666666,0.375,0.2916666666666667,0.2708333333333333
