,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.12499999999999999,0.22916666666666666,0.10416666666666666,0.0625,0.0625,0.20833333333333331,0.020833333333333332,0.041666666666666664,0.0625,0.2708333333333333,0.125,0.08333333333333333
1,Czech,0.10416666666666666,0.2708333333333333,0.08333333333333333,0.10416666666666666,0.041666666666666664,0.2708333333333333,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.29166666666666663,0.125,0.10416666666666666
2,Slovak,0.08333333333333333,0.25,0.0625,0.08333333333333333,0.08333333333333333,0.24999999999999997,0.041666666666666664,0.0625,0.12499999999999999,0.25,0.10416666666666666,0.14583333333333331
3,Croatian,0.45833333333333337,0.875,0.7708333333333334,0.5833333333333334,0.39583333333333337,0.8124999999999999,0.6458333333333334,0.6458333333333334,0.45833333333333337,0.7916666666666666,0.6666666666666667,0.6458333333333334
4,Slovene,0.08333333333333333,0.35416666666666663,0.14583333333333331,0.16666666666666666,0.041666666666666664,0.1875,0.12499999999999999,0.0625,0.041666666666666664,0.2708333333333333,0.1875,0.22916666666666669
