,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.083333333,0.041666666666666664,0.27083333333333337,0.0625,0.0625,0.083333333,0.29166666666666663,0.041666666666666664,0.10416666666666666
1,Czech,0.083333333,0.22916666666666666,0.0625,0.0625,0.083333333,0.16666666666666666,0.0625,0.0625,0.0625,0.29166666666666663,0.16666666666666666,0.10416666666666666
2,Slovak,0.10416666666666666,0.3125,0.10416666666666666,0.125,0.083333333,0.1875,0.041666666666666664,0.10416666666666666,0.10416666666666666,0.18749999999999997,0.0625,0.10416666666666666
3,Croatian,0.14583333333333331,0.375,0.1875,0.1875,0.24999999999999997,0.4375,0.20833333333333331,0.22916666666666666,0.25,0.375,0.27083333333333337,0.20833333333333331
4,Slovene,0.10416666666666666,0.3541666666666667,0.14583333333333331,0.16666666666666669,0.10416666666666666,0.3541666666666667,0.16666666666666666,0.18749999999999997,0.16666666666666666,0.4166666666666667,0.20833333333333331,0.22916666666666666
