,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.12499999999999999,0.3333333333333333,0.25,0.20833333333333334,0.20833333333333331,0.3333333333333333,0.18750000000000003,0.20833333333333337,0.1875,0.39583333333333337,0.2708333333333333,0.1875
1,Czech,0.6666666666666666,0.9375,0.8958333333333334,0.8541666666666666,0.6666666666666666,0.8958333333333334,0.9375,0.9583333333333334,0.625,0.8958333333333334,0.9583333333333334,0.9375
2,Slovak,0.8125,1.0,0.9375,0.9375,0.6458333333333334,0.9166666666666666,0.9166666666666666,0.7916666666666667,0.7499999999999999,0.9375,1.0,1.0
3,Croatian,0.08333333333333333,0.3333333333333333,0.14583333333333331,0.14583333333333331,0.10416666666666666,0.29166666666666663,0.08333333333333333,0.10416666666666666,0.10416666666666666,0.2708333333333333,0.20833333333333334,0.10416666666666666
4,Slovene,0.14583333333333334,0.3333333333333333,0.20833333333333331,0.14583333333333331,0.041666666666666664,0.2916666666666667,0.10416666666666666,0.041666666666666664,0.14583333333333334,0.47916666666666663,0.20833333333333331,0.20833333333333331
