,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.0625,0.2916666666666667,0.0625,0.10416666666666666,0.041666666666666664,0.20833333333333331,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.33333333333333337,0.12499999999999999,0.16666666666666669
1,Czech,0.8333333333333334,1.0,0.9583333333333334,0.875,0.6875,0.9791666666666666,1.0,0.75,0.75,1.0,1.0,0.875
2,Slovak,0.12499999999999999,0.375,0.29166666666666663,0.22916666666666666,0.10416666666666666,0.29166666666666663,0.125,0.14583333333333331,0.18749999999999997,0.45833333333333337,0.2916666666666667,0.29166666666666663
3,Croatian,0.125,0.2708333333333333,0.0625,0.0625,0.041666666666666664,0.22916666666666666,0.0625,0.08333333333333333,0.10416666666666666,0.3125,0.125,0.10416666666666666
4,Slovene,0.08333333333333333,0.2708333333333333,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.3125,0.14583333333333331,0.10416666666666666
