,Language,1 Line - Top 1 Score,1 Line - Top 3 Score,1 Line - FC Combinatorially Optimized Score,1 Line - FC Greedy Algorithm Score,3 Line - Top 1 Score,3 Line - Top 3 Score,3 Line - FC Combinatorially Optimized Score,3 Line - FC Greedy Algorithm Score,3 Line (no fill) - Top 1 Score,3 Line (no fill) - Top 3 Score,3 Line (no fill) - FC Combinatorially Optimized Score,3 Line (no fill) - FC Greedy Algorithm Score
0,Polish,0.0625,0.22916666666666666,0.041666666666666664,0.08333333333333333,0.0625,0.1875,0.10416666666666666,0.10416666666666666,0.08333333333333333,0.27083333333333337,0.08333333333333333,0.08333333333333333
1,Czech,0.10416666666666666,0.3125,0.14583333333333334,0.12499999999999999,0.10416666666666666,0.24999999999999997,0.12499999999999999,0.0625,0.14583333333333331,0.3541666666666667,0.14583333333333331,0.10416666666666666
2,Slovak,0.08333333333333333,0.25,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.22916666666666666,0.041666666666666664,0.10416666666666666,0.0625,0.24999999999999997,0.0625,0.14583333333333334
3,Croatian,0.20833333333333331,0.3333333333333333,0.12499999999999999,0.08333333333333333,0.14583333333333331,0.3541666666666667,0.0625,0.12499999999999999,0.20833333333333331,0.3958333333333333,0.08333333333333333,0.0625
4,Slovene,0.3333333333333333,0.6041666666666666,0.3333333333333333,0.3541666666666667,0.5208333333333334,0.6875,0.5416666666666667,0.5,0.4583333333333333,0.6666666666666666,0.5208333333333334,0.5416666666666667
